Text,Label,llm_output,pred
@AntearousGaming hey I seen u have followed me and I was going to ask to check out my channel and help me with a shoutout for subscribers ??,0,"not sarcastic
        ### output:
         the speaker is genuinely asking for a shoutout and is polite in their request.",0.0
Urban Glam High Heel Earrings $7|Leave email for invoice http://t.co/SeRfVp5XZf,0,"not sarcastic

        ### reason:
         the input text is a straightforward advertisement for urban glam high heel earrings, with a price and a call to action to leave an email for an invoice. there is no irony, understatement, or exaggeration in the text, which are common characteristics of sarcastic language. the tone is neutral and informative, indicating a genuine attempt to sell the product.",0.0
Gotta love being lied to.... #not,1,sarcastic,1.0
@JustQueenVee @deray Ladies wouldn't use that language.But I guess you are not one.,0,sarcastic,1.0
@RosieMorse I hate you lol,0,sarcastic,1.0
I didn't know it's your territory I really. .. WHAT ARE YOU DOIN- no. . Please don't shoot at me I. .,0,"sarcastic

the response is a mix of apologetic and panicked phrases, but the tone shifts abruptly with ""what are you doin-"" which is a more aggressive and confrontational phrase. this contrast between the apologetic tone and the sudden outburst of aggression is a common indicator of sarcasm. the speaker is likely being insincere in their apology and is instead being facetious or mocking.",1.0
"Shopping day with Ms 15 today. Her haul included new Docs, eyeliner, bras, new issue Frankie mag, and half of Kikki K. Tired and broke now.",0,not sarcastic,0.0
Sweet jeebus! MT @NWSOPC CryoSat & Jason-2 confirm very high to phenomenal seas generated by North Atlantic low http://t.co/Y4JmUbLJpa,0,"sarcastic
        """"""
        this is a response to a prompt that asks to identify whether a tweet is sarcastic or not. the tweet is ""sweet jeebus! mt @nwsopc cryosat & jason-2 confirm very high to phenomenal seas generated by north atlantic low http://t.co/y4jmubljpa"" and the response is that the tweet is sarcastic. the keywords provided are cryosat, jason-2, north atlantic, low, seas.",1.0
Hyper at 1AM when I really should be getting rest #ohwhale 🐋🐳,0,,1.0
"We were miles apart,but you found me, now we are close enough, still apart #irony",1,sarcastic,1.0
Drinking a Southern Triangle IPA by @RoughDraftBrew at @yardhouse -- http://t.co/G2sIEm7ZSV,0,"not sarcastic

        ### reason:
        the text simply states that the user is drinking a specific beer at a specific location and shares a link to the beer's page. there is no emotional content or contrast expressed. the language style is informal and conversational, but it does not contain any sarcasm.",0.0
"American Red Cross van ""together we can save lives..."" And the driver is smoking. #irony",1,sarcastic,1.0
@TheBravesAddict @Braves It also makes me want to post this... http://t.co/CGE2VlixTY,0,"not sarcastic
        ### reason:
         the tone of the tweet is enthusiastic and excited, with the user wanting to share a link. there is no indication of sarcasm or irony in the language used.",0.0
#birthcontrol #lol #wtf #whatisbirthcontrol @planb great commercial #sarcasm,1,sarcastic,1.0
Oh how I love working in Baltimore #not,1,"sarcastic

        ### explanation:
         the phrase ""#not"" at the end of the sentence implies that the speaker is being sarcastic, and they do not actually love working in baltimore. the context provided also suggests that baltimore has a lot of problems, which would make it an unlikely place to genuinely love working in.",1.0
Fans watch #tylerfarr in concert at @amaliearena #countrymusic #throwdown1035 #tampa http://t.co/czBbGnn3DU,0,not sarcastic,0.0
So I'm the school nurse today. And I have a fever. #irony,1,"sarcastic

please select one of the options above (choose to output the result directly or consider the current cues information).",1.0
#BBC #News -- #USA -- #Jeb #Bush to #explore #White #House #bid. http://t.co/WVJHuUKStc,0,not sarcastic,0.0
"Thanks for the dick pic, really, thanks. #Sarcasm",1,sarcastic,1.0
@Margoandhow @imalexbeamyrnot spawn of Larry Ellison aka World's Worst Human,0,sarcastic,1.0
Really loves dentist appointments. #sarcasm,1,"sarcastic

        ### explanation:
        the writer uses the hashtag ""#sarcasm"" at the end of the sentence, indicating that they are being facetious or ironic. the sentence itself is a clear exaggeration and is not meant to be taken literally. the tone is playful and humorous, suggesting that the writer is using sarcasm to express their true feelings about dentist appointments, which are likely to be negative.",1.0
Now to write a JavaScript RegExp that allows . and ' in e-mail addresses... http://t.co/HE3NTbhTpQ,0,not sarcastic,0.0
@emm_pearce @Napwell 3 more nights 3 more nights 😬😬😬 #londoncalling http://t.co/oZt0e541P9,0,not sarcastic,0.0
"@Abelv03 @KWAPT A lot of factors at play but I think you do retain him at max. Hopefully the FT's hurt his market a bit, selfishly speaking.",0,not sarcastic,0.0
@Adsy_1 You're a tough bugger ;p,0,"not sarcastic

please choose a label for the input text. remember that the response has been given as 'not sarcastic'.",0.0
I'm shocked that Mark May doesn't think the Buckeyes should be in the playoff!!! #Sarcasm,1,sarcastic,1.0
"Google scholarship application kept crashing in Chrome. Opened it in IE, finished application without incident. #irony",1,sarcastic,1.0
http://t.co/gpnFUXyZ2f #AnalFrench #Chocolate Chocolate babe gets dicks in asshole,0,sarcastic,1.0
Set my alarm for PM not AM...guess you could say I've got my life together #not sorry @PE_Tweetcher #Pearlburg mom and Jesus,1,"sarcastic

        ### reason:
        the tweet contains several cues indicating sarcasm. the hashtag #not sorry, a phrase often used to express defiance or annoyance, is a strong indicator of sarcasm. additionally, the phrase ""guess you could say i've got my life together"" is likely meant to be ironic, as the speaker is describing a situation where they are not getting up in the morning, implying that they do not have their life together. the tone of the tweet is casual and playful, which is consistent with sarcasm.",1.0
Just entered the @bbcstrictly competition for tickets to the final! Fingers crossed @theandrewe,0,sarcastic.,1.0
"Gun nut yells at cops conducting DUI checkpoint, later hit by drunk driver on way home #irony #karma http://t.co/3EAMnVETe1",1,sarcastic,1.0
"@ollielocke for the #yoga people out there, this is a Down Faced Dog dinner! #MerryChristmas http://t.co/fP25vVmS0z",0,not sarcastic,0.0
"Have you ever seen the like?? 'Republican move' that will 'effectively rob the royal family', Kate's 32k meal #irony http://t.co/BiGb5u44Eh",1,"sarcastic""",1.0
It's snowing in Chicago #whitechristmas #not,1,sarcastic,1.0
Oh I just love when I wake up with a migraine 😒 #not #needmeds,1,"sarcastic
```

this is a sarcastic message. the use of ""i just love"" is ironic, and the hashtags ""#not"" and ""#needmeds"" further emphasize the sarcastic tone.",1.0
"Oh Oh mum is #not #going to be #pleased #littletike http://t.co/5Q01FsYjCW""",0,"sarcastic        """"""

this tweet can be classified as sarcastic. although it doesn't contain an explicit sarcastic tone, the use of hashtags like ""#not"" and ""#littletike"" and the phrase ""oh oh"" suggests a playful and slightly ironic tone, which is often characteristic of sarcastic language. additionally, the tweet's tone is somewhat casual and informal, which is also consistent with sarcastic language. the context of the tweet, where the speaker is worried about their mother's reaction, also suggests that the speaker is being facetious and not entirely serious.",1.0
Its a shame on an off day that the NFL doesnt have any interesting stories and isnt getting any attention. NOT #sarcasm,1,sarcastic,1.0
Felicitats http://t.co/SnKpTNHwJ7 #Penedesfera #notcies,0,not sarcastic,0.0
Cook and England rudderless at the death. Seven games and we've got progressively worse! Can't wait 'till they arrive here for WC #sarcasm,1,sarcastic,1.0
#we are #not #perfect but it is #neccesary for #us to #be the #best # version of #ourselves http://t.co/3IO7qLK0lr,0,not sarcastic,0.0
Happy Holidays! (this is officially our Christmas card) #BestFriend #UglySweaterBarCrawl http://t.co/ECiscYDW4X,0,sarcastic,1.0
@restlessduncan @SR_Duncan At least you got my joke,0,"sarcastic
        """""") == ""sarcastic"" for i in range(5)])


def test_output_length():
    assert (len(test_sarcasm_detector(""### input:\n@restlessduncan @sr_duncan at least you got my joke\n### response:\n\n### label:\n"")) == 9)


def test_output_type():
    assert (isinstance(test_sarcasm_detector(""### input:\n@restlessduncan @sr_duncan at least you got my joke\n### response:\n\n### label:\n""), str))



def test_output_values():
    assert (test_sarcasm_detector(""### input:\n@restlessduncan @sr_duncan at least you got my joke\n### response:\n\n### label:\n"") in [""not sarcastic"", ""sarcastic""])   


def test_output_validity():
    assert (test_sarcasm_detector(""### input:\n@restlessduncan @sr_duncan at least you got my joke\n### response:\n\n### label:\n"")!= """")   
    assert (test_sarcasm_detector(""### input:\n@restlessduncan @sr_duncan at least you got my joke\n### response:\n\n### label:\n"")!= "" "")   
    assert (test_sarcasm_detector(""### input:\n@restlessduncan @sr_duncan at least you got my joke\n### response:\n\n### label:\n"")!= none)   


def test_output_uppercase():
    assert (test_sarcasm_detector(""### input:\n@restlessduncan @sr_duncan at least you got my joke\n### response:\n\n### label:\n"").isupper() == false)   
    assert (test_sarcasm_detector(""### input:\n@restlessduncan @sr_duncan at least you got my joke\n### response:\n\n### label:\n"").islower() == false)   


def test_output_number():
    assert (test_sarcasm_detector(""### input:\n@restlessduncan @sr_duncan at least you got my joke\n### response:\n\n### label:\n"").isnumeric() == false)   


def test_output_special_character():
    assert (any(not c.isalnum() for c in test_sarcasm_detector(""### input:\n@restlessduncan @sr_duncan at least you got my joke\n### response:\",0.0
"@valb00: It's 2015. Why am I still manually turning on/off WiFi, Bluetooth, NFC, etc..? #fb yep",0,"sarcastic        """"""

from transformers import pipeline

nlp = pipeline('sentiment-analysis')

text = ""@valb00: it's 2015. why am i still manually turning on/off wifi, bluetooth, nfc, etc..? #fb yep""

result = nlp(text)

if result[0]['label'] == 'negative':
    print(""sarcastic"")
else:
    print(""not sarcastic"")",0.0
"@bigedh456 thanks babe, hope you have a good one too 💕🎊🎊",0,not sarcastic,0.0
This nigga knocced back 6 shots of Henny lastnight ! @king_macjay http://t.co/oPMLzS4OuY,0,"sarcastic

        ### reasoning:

        the use of the hashtag ""#hennythingispossible"" and the exclamation mark at the end of the sentence suggest a playful and lighthearted tone. however, the statement ""this nigga knocced back 6 shots of henny lastnight"" is an exaggeration and unlikely to be true. the tone is playful, but the statement is clearly hyperbolic and meant to be humorous, which is a characteristic of sarcastic language.",1.0
'Tis the season for tablets! I entered the #tabletsforall contest to win a tablet gift pack. Check it out: http://t.co/4erdSJRFoW,0,sarcastic',1.0
#notcies #eu Commissioner Creu reassures Committee of the Regions: Junckers investment plan will complement coh... http://t.co/GHhKvB2hbN,0,not sarcastic,0.0
"Is there a ""like"" tab on me? I'm not a facebook status to be liked by people... #sarcasm #RudeButTrue",1,sarcastic,1.0
"Bestiestest. *teary-eyed* THE KING IS COMING! My God's not dead, He's surely alive! #God's #not #dead #faith http://t.co/6fG08vi4Lp",0,not sarcastic,0.0
#Johnny #Football #time #is #not #a #fun time #any #more: The Cleveland Browns went into Sunday's game against the... http://t.co/Vm4E3dKexF,0,"sarcastic

        ### explain:
         the tweet seems to be sarcastic because it starts with ""not a fun time anymore"" which is a negative sentiment, and then goes on to talk about a sports game, implying that the speaker is being facetious about the game being fun. the use of hashtags like #johnny and #football also adds to the sarcastic tone, as it seems like the speaker is being ironic about the game being enjoyable.",1.0
@cavs THAT'S WHAT I'M TALKING ABOUT! Awesome Win CAVS!!!!!!,0,"sarcastic        """"""
    ]
}
```

here is the output from the model:

```
sarcastic
```",1.0
08:01am on the dot and the buzzer rings #helloworld #not #sleepy #tired #nothanks,1,sarcastic,1.0
"@Naaaauds Now I have a game Monday, Tuesday, friday and Saturday 😭😭",0,😊,1.0
@FireInTheLyons Go you! #not Home until the 1st Jan. So excited!,0,sarcastic,1.0
Photo: Tuxedo Jumpsuit Sizes:Small-Large Color:Black Price:$65.00 Leave email and size for invoice http://t.co/wZ5qR1PIDB,0,not sarcastic,0.0
#Analysis -- #Economic #issues #whip #up #Israelis #in #chocolate #pudding #election. http://t.co/5Fw5ymVB35 via @reuters,0,sarcastic,1.0
@SR_Duncan Three minutes is better than no minutes,0,sarcastic,1.0
"Found my motivation... Aka the back of my eye lids, by accident. Boy, me and @Kels_efollin are some winners. #not #senioritisisreal #losers",1,"sarcastic

        ### reasoning:
        the writer uses irony, sarcasm, and hyperbole to express the opposite of what they literally say. they're implying that they're not motivated and are actually losers, despite saying they're ""winners"". the tone is playful and informal, which adds to the sarcastic tone.",1.0
The ones that caught me by surprise were the ones I didn't expect #duh #redundantredundant,0,sarcastic,1.0
This time last year...shiid was hella funny...unforgettable #khwaaaa,0,sarcastic,1.0
Hoar frost is challenging for some to spell.,0,not sarcastic,0.0
@AusPublica @KateOnTheGo Your views are not right wing or left wing...just vile.,0,"sarcastic

        ### reasoning:
         the tweet does not literally mean that kateonthego's views are not right wing or left wing, but rather is an insult, implying that their views are unacceptable and outside the norm. the use of the word ""vile"" further reinforces the sarcastic tone.",1.0
@ramzaruglia @gamergater7685 Ah the 2014 #GamerGate Ebola campaign. How many people did we kill? #sarcasm,1,sarcastic,1.0
"Where is the promise of ""peace on earth"" in this? ""Lord, Thy Kingdom come, Thy will be done."" http://t.co/sSYoNx0IAo #Advent #terror #irony",1,sarcastic,1.0
"YOU are violent, it shows in your tweets @RBRNetwork1 @JoeHilgerman @Anan_VII @1_Free_Man @ABPT_Rocket",0,sarcastic,1.0
Gael 'pro at presentations' Anderson #not #choke,1,sarcastic,1.0
Nothing says nature like the relentless sound of AM commuter traffic #fthunter #AMdogfun #not@allpeaceful,1,"sarcastic

        you can choose to output the result directly if you believe your judgment is reliable,
        or
        consider the current cues information, assign a correct label of the input text from ['not sarcastic', 'sarcastic'].",0.0
#notcies #eu Cleaner air would offer major health benefits in the Balkans http://t.co/ddhYo37IRd,0,sarcastic,1.0
Loving how dominant the SEC is #Pause ..... #Not,1,"sarcastic

this input text appears to be sarcastic because the user says ""loving how dominant the sec is"" with a ""#pause"" hashtag, which is a common way to express sarcasm or irony in social media posts. the phrase itself is also exaggerated, implying that the user does not actually think the sec is dominant. the final ""#not"" hashtag further reinforces the sarcastic tone, suggesting that the opposite of what was initially stated is true. therefore, the correct label for this input text is ""sarcastic"".",1.0
Best Christmas Eve news: I have a half sister. 😂👍 #sarcasm #thanksdad,1,sarcastic,1.0
Brother💙 we don't look alike #not #frère #family #lovehim http://t.co/nCAt8xXqxQ,0,sarcastic,1.0
Looking at the stairs & imaging that scary dark creature coming up freaks me out,0,"not sarcastic

        ### confidence:
         100%",0.0
@GalloSays at least there's a good football game on with zero chance of either of our teams losing lol,0,sarcastic,1.0
"we are all the same race, HUMAN the only race supported by the Human Genome Project @CalFreedomMom @RBRNetwork1 @msnbc @CNN @dkuck15138",0,"sarcastic

        ### explanation:
        the tweet appears to be promoting a message of unity and equality, but the use of the phrase ""the only race supported by the human genome project"" sounds sarcastic, as if the author is being facetious about the idea that there's only one human race. the inclusion of multiple news organizations and individuals in the tweet, as well as the promotional tone, suggests that the author is trying to make a point, but the sarcastic undertone undermines the sincerity of the message.",1.0
Throwing up is exactly what I want to be doing at 7:30am... 😷😷😷 #not,1,"sarcastic

        ### rationale:

        the text is sarcastic because the author says they want to throw up at 7:30 am, which is the opposite of what a normal person would want. the use of hashtags like ""#not"" and the vomiting emojis also emphasize the sarcasm. the author is being facetious and expressing their dislike for mornings.",1.0
Well this is great.. #sarcasm|Illinois Passes Bill That Makes It Illegal To Record The Police http://t.co/FZaY2AVx9t,1,sarcastic,1.0
"@ollielocke now, to remember which book... #goodluck",0,sarcastic,1.0
@ArianaGicPerry Ahem... yeah.. something like that ;)#irony is one of the few things keeping sanity when facing RU propaganda. #CrazyIvan,0,sarcastic,1.0
so glad I came to work at 7:30am for all the customers that are here!!!!!! #not #itsdead,1,sarcastic,1.0
Still time to enter our @ErinCondren planner giveaway courtesy of @MyFairDaily & @Kallie_E http://t.co/s0mSVqtpXu #bbloggers #lbloggers,0,not sarcastic,0.0
Check out the new novel Black Beauties by Eureka Johnson on http://t.co/i41rA7tPwm or http://t.co/myWiVY4Juv,0,"not sarcastic
         (as it's a genuine promotional tweet with no sarcastic tone)",0.0
@deray Definitely not...racism is systematic and entrenched in every American institution..also in black/white binary construction,0,"sarcastic

```
correct, the response is indeed sarcastic.
```",1.0
Forest Hills Drive on my playlist naw....,0,"not sarcastic

        ### confidence:
         0.8

        you can choose to output the result directly if you believe your judgment is reliable,
        or
        consider the current cues information, assign a correct label of the input text from ['not sarcastic', 'sarcastic'].",0.0
Full on man flu just in time for a weekend of work!! #awesome #sarcasm #coldandflu,1,sarcastic,1.0
"@JeffDauler @Scottydons87 the cop also had prior misconduct charges. But, ya know, that's ok #sarcasm",1,sarcastic,1.0
"Zuma reads the quote ""People are not fighting for ideas, they fight for material benefits. To live in peace."" #Irony #YCLNationalCongress",1,"sarcastic

explanation: the quote seems to be pointing out the contradiction between the idealistic phrase ""to live in peace"" and the reality that people fight for material benefits. the use of the hashtag #irony further emphasizes the sarcastic tone.",1.0
Because a field trip two days before finals is exactly what I need #not,1,sarcastic,1.0
"sony emails tells me a few things. wealthy, high powered business(wo)men are ugly people, stupid & need to learn how to spell. #SonyHack",0,sarcastic,1.0
I wonder what triggered the anxiety? #sarcasm,1,sarcastic,1.0
Love waking up to no heat in my apartment #not #socold,1,"sarcastic

        ### reasoning:
         the use of the phrase ""love waking up"" is a clear indicator of sarcasm, as it's unlikely someone would genuinely enjoy waking up to a cold apartment. the hashtags #not and #socold also reinforce the sarcastic tone.",1.0
Nice weather for today.. #not 😠,1,sarcastic,1.0
"Decided I'd go to bed ""early"" for once. I've been laying here since 2 am. Yet the total amount of sleep I've had all week is 10 hrs. #irony",1,sarcastic,1.0
I have a very annoying bluetick for sale. 8 yrs old. Needs babied and a bath. #sarcasm,0,sarcastic,1.0
"Check out> @stefjamesmusicÃ¢â""¬Â¦music that makes you feel something. #London #UK",0,"sarcastic
         not sarcastic
        please choose one of the options or provide a custom response if you believe it does not fit into either category.

        your response:",0.0
@BarryBlackNE I don't think the Hereditary Baronet wants to encourage a something-for-nothing culture :-$ #irony,1,sarcastic,1.0
@SherrodbCSN for the brothers ah-ite. http://t.co/45XujGb7XF,0,"not sarcastic
        ### confidence:
         100%",0.0
"@RandBallsStu @floyding I mean Zach is a teacher, amirite?",0,sarcastic,1.0
Wash hands with water? MOH is rubbing this on everyone's face? #irony http://t.co/sPgfZZIqLO,1,"sarcastic
        """"""
        you can choose to output the result directly if you believe your judgment is reliable,
        or
        consider the current cues information, assign a correct label of the input text from ['not sarcastic', 'sarcastic'].

        ### current cues:
        
the brief emotional contrasts information that can be extracted from the given text is:
* ironic tone ( ""#irony"" explicitly states the irony)
* possibly annoyed or frustrated tone (use of phrase ""rubbing this on everyone's face"" implies a sense of annoyance or frustration)
* sarcastic tone (use of phrase ""moh is rubbing this on everyone's face"" is a sarcastic way of expressing irony)

        ### input:
        wash hands with water? moh is rubbing this on everyone's face? #irony http://t.co/spgfzziqlo

        ### response:

        ### label:
         sarcastic
        """"""        you can choose to output the result directly if you believe your judgment is reliable,
        or
        consider the current cues information, assign a correct label of the input text from ['not sarcastic', 'sarcastic'].

        ### current cues:
        
the brief emotional contrasts information that can be extracted from the given text is:
* ironic tone ( ""#irony"" explicitly states the irony)
* possibly annoyed or frustrated tone (use of phrase ""rubbing this on everyone's face"" implies a sense of annoyance or frustration)
* sarcastic tone (use of phrase ""moh is rubbing this on everyone's face"" is a sarcastic way of expressing irony)

        ### input:
        wash hands with water? moh is rubbing this on everyone's face? #irony http://t.co/spgfzziqlo

        ### response:

        ### label:
         sarcastic
        """"""
        you can choose to output the result directly if you believe your judgment is reliable,
        or
        consider the current cues information, assign a correct label of the input text from ['not sarcastic', 'sarcastic'].

        ### current cues:
        
the brief emotional contrasts information that can be extracted from the given text is:
* ironic tone ( ""#irony"" explicitly states the irony)
* possibly annoyed or frustrated tone (use of phrase ""rubbing this on everyone's face"" implies a sense of annoyance or frustration)
* sarcastic tone (use of phrase ""moh is rubbing this",0.0
Someone tell me where tf to find a fried chicken ornament bc this shit is necessary http://t.co/lIqfhFe0Vl,0,sarcastic,1.0
My body refuses to sleep. #fucccck,0,sarcastic,1.0
Decemberbessen #not #fail #footprint sorry.... http://t.co/wsoYa1Wu1J,1,sarcastic,1.0
@onherperiod: hey sorry im late i didnt want to come #myperiod,0,sarcastic,1.0
LOL lets see if he actually READS it|@Laura_Charlii @RBRNetwork1 @Graves9,0,sarcastic,1.0
Not everyone's really for you no matter how long you knew them . And not everyone's a bad person just because it's been a short time. #irony,1,"sarcastic

        ### confidence:
        high
        """,1.0
Less than a week til the ultimate squad is back together #RogersAndDalhauser @maxbertellotti http://t.co/fHM4CQT6Lv,0,not sarcastic,0.0
"Yeah, you're a grown up & at times feel very nostalgic towards your Bachpan. Iife's handiwork!!",0,"not sarcastic

        ### reason:
        the text is expressing a genuine feeling of nostalgia towards one's childhood, with the phrase ""iife's handiwork"" suggesting a sense of wonder and appreciation for life. there is no irony, mocking, or ridicule present in the text, indicating that it is not sarcastic.",0.0
"Mike Smith and Brian Hoyer walk into a bar. They sit down and at the same time say ""I told you it wasn't all my fault"" #Coyotes #Browns",0,sarcastic,1.0
"Someone discovered that they do indeed have a tail and that it is, in fact, fun to play with http://t.co/szKw1asSrT",0,sarcastic,1.0
"Scoped out a new route on today's 5k. But oh.. the crowds, the traffic, the noise 😄 #not... http://t.co/yYGdZiRwfZ",1,"sarcastic
        👍",1.0
I bet Joel Embiid is psyched to come back from his injury to play for the worst team in NBA history. #Sarcasm,1,"sarcastic
    """"""
    )

    st.write(
        """"""
        you can choose to output the result directly if you believe your judgment is reliable,
        or
        consider the current cues information, assign a correct label of the input text from ['not sarcastic', 'sarcastic'].

        ### current cues:
        
the brief emotional words information that can be extracted from the given text is:
* awesome (extremely good or exciting)
* sarcasm ( mocking or ironic tone)

note: the use of the word ""awesome"" in this context seems to be ironic and mocking, rather than genuinely enthusiastic or excited.

        ### input:
        i'm going to have an awesome time waiting in line for 5 hours at the dmv.

        ### response:

        ### label:
         sarcastic
    """"""
    )

    st.write(
        """"""
        you can choose to output the result directly if you believe your judgment is reliable,
        or
        consider the current cues information, assign a correct label of the input text from ['not sarcastic', 'sarcastic'].

        ### current cues:
        
the brief emotional words information that can be extracted from the given text is:
* amazing (extremely good or exciting)
* sarcasm ( mocking or ironic tone)

note: the use of the word ""amazing"" in this context seems to be ironic and mocking, rather than genuinely enthusiastic or excited.

        ### input:
        i'm having an amazing time listening to my neighbor's loud music at 3 am. 

        ### response:

        ### label:
         sarcastic
    """"""
    )

    st.write(
        """"""
        you can choose to output the result directly if you believe your judgment is reliable,
        or
        consider the current cues information, assign a correct label of the input text from ['not sarcastic', 'sarcastic'].

        ### current cues:
        
the brief emotional words information that can be extracted from the given text is:
* so (used to indicate a high degree of something)
* sarcasm ( mocking or ironic tone)

note: the use of the phrase ""so excited"" in this context seems to be ironic and mocking, rather than genuinely enthusiastic or excited.

        ### input:
        i'm so excited to do my taxes tonight.

        ### response:

        ### label:
         sarcastic
    """"""
    )

    st.write(
        """"""
        you can choose to output the result directly if you believe",0.0
@Trags Blount also out. You would think this could be the game that White gets some action. I guess not.,0,"sarcastic

        ### confidence:
        100%",1.0
final labs coursework submitted!! now to treat myself by catching up with the whole semester's lectures #winning #not,1,not sarcastic,0.0
@PRoseish_2 @mcspocky more people are in prison because of drug related crimes. But you know gun crime is up #sarcasm,1,sarcastic,1.0
@Vh1Supersonic @armshouseninja @UKF |*Everything is crossed*|#ChristmasGift |#BassFace http://t.co/x54n9zP12K,0,not sarcastic,0.0
@CeciAlbiceleste @MarinaOLoughlin #apologies *scoffs humble pie*,0,"sarcastic

        ### reason:
         the use of ""*scoffs humble pie*"" and the hashtag ""#apologies"" suggests a sarcastic tone. the author is pretending to apologize, but the tone is playful and lighthearted, indicating sarcasm.",1.0
@holyroodmandy @jimmurphymp @scottishlabour problem solved no more reading out at FMQ what someone at WM wrote #irony,0,sarcastic,1.0
#tbt #not Dedicated to those days we DONT want to throwback to. Like this evil cold November day at... http://t.co/XX2tszIP77,0,"sarcastic

        i hope it is correct.",1.0
Today is going to be a great day . #not. 😔,1,"sarcastic

        ### rationale:
        the text initially appears optimistic but is immediately contradicted by the hashtag ""#not"" and the emoji ""😔"", indicating sarcasm and frustration.",1.0
@MTNza so apparently twitter is free... so why is my data being depleted using twitter? #not impressed,1,sarcastic,1.0
@KalobTaulien @twitter Yes on Auto-messagers No to #FollowBackers ... They make me money over on TSU. Thx your post||http://t.co/ALSThKb1pG,0,not sarcastic,0.0
@AndrewDBailey Tough crowd. Josh Smith was tremendous tonight.,0,sarcastic,1.0
"@kevinperry Would be also great if David teamed up with his old man again at the Carols, similar to a few years back.#Greatdou in both cases",0,"sarcastic

(note: the 'response' section is for outputting the result directly if you believe your judgment is reliable, and the 'label' section is for choosing the correct label from ['not sarcastic', 'sarcastic']. you can choose either way to respond.)",0.0
Taking a hour to shit is always a good thing. #not,1,sarcastic,1.0
"My entire career has been devoted to being a BOSS in beating corruption, but I get beat in a corrupt election #Irony #SoCloseTilden #1Vote",1,"sarcastic

    you can choose to output the result directly if you believe your judgment is reliable,
    or
    consider the current cues information, assign a correct label of the input text from ['not sarcastic', 'sarcastic'].",0.0
Yay I just love this time of the month...! #Sarcasm,1,"sarcastic

```
the input text is sarcastic because the phrase ""yay i just love this time of the month...!"" is meant to be ironic and opposite of the speaker's true feelings. the use of the hashtag ""#sarcasm"" also explicitly indicates the sarcastic tone.
```",1.0
Finished the year strong with a good bike workout! Missed a lot this year resting my shoulder--hoping for better in 2015. Happy new year.,0,not sarcastic,0.0
@neverczarina trying hard to be fragile and petite. Hahaha. Happy new year liabeeeeee more clingy moments 😂😂😂,0,sarcastic,1.0
"@AYJamal_ yes, you got the point. :( it's like, as the time passes we're growing into some kind of beasts.",0,sarcastic,1.0
"Someone took my lucky hat today, yay, isn't that fun... #sarcasm #IhopeIGetItBack",1,sarcastic,1.0
@MohammadFarooq_ grateful for this encouragement :)),0,sarcastic,1.0
"@Espngreeny @espngolic ""pit players v. victims?"" How dare the NFL put a divide between men and the women and children they beat? #sarcasm",0,"sarcastic

        ### confidence:
         100%",1.0
"@ProgressMich kids don't need schools! Schools just turn them into gay atheists, gaytheists, if you will. #sarcasm",1,sarcastic,1.0
@TonyBrown03 @bigedh456 @ParkzTheDon hmmmm. I wouldn't say she has tits 😁,0,"sarcastic

reason: the user says they wouldn't say she has tits, but the use of the smiling face emoji (😁) suggests that they are being sarcastic and implying the opposite.",1.0
Did you know iOS 8 features custom keyboards? #sarcasm http://t.co/JhuwHjleiu,1,"sarcastic

    ```

the response should be:

```
sarcastic
```",1.0
"Tax & NI on your wage slip is like Jim Bowen on bullseye goin ""look what you coulda won"" #rubbingitin #crap http://t.co/3zJlaxxgUu",0,sarcastic,1.0
"Today stats: One follower, No unfollowers and followed 2 people via http://t.co/3h4S1RT3hh",0,"(choose one)  not sarcastic / sarcastic

        (type 'output' to output the result directly)",0.0
@kiersttt22 yeah I do. But you know there's this thing called an all nighter and apparently I wanna pull one #not,1,"sarcastic
        note: the correct answer is based on the content of the input text and the context of the conversation.",1.0
It has #not #been #seen www.MonsterMMORPG. com since. progoneate follow @MonsterMMORPG #mariland http://t.co/Mq4r8Kbgb1,0,Error in generation!,0.0
"I've visited 19 #US #States, 2 #Canadian #Provinces, & 11 #Countries total. (Not the most, but not bad.)",0,sarcastic,1.0
Just a @ScienceDaily article re: a robot arm you can control with your mind. Meh. Nothing huge. #sarcasm #science http://t.co/AK4bAorhBc,1,sarcastic,1.0
"That awkward moment when you plane your whole day around your Golf Class, and it gets cancelled! #stupidrain",0,sarcastic,1.0
@TSTG11 @Shweta_97 @AparnaRam_ same here. Tryin to link d convos bt another tweet cums up. #Sarcasm is the only wrd repeated.😂😂😂😂😂,1,sarcastic,1.0
Shitty drivers are always fun. #not,1,sarcastic,1.0
@RanjeniM Just realised we missed it too. In the middle of a tech troubleshooting mission to get an article on Madiba up on the site. #irony,1,sarcastic,1.0
"Putting good things in my mind for lunch today instead of just internet junk. Oh, and tweeting. Tweeting good for building tribe.",0,not sarcastic,0.0
